00001|0000825546000||0000921||0000269|2024-07-19|2024-08-20|F|P|83286369|88005389|0000000008215
00005|0000832558000||0000647||0000954|2024-07-03|2024-08-22|F|T|41012995|38008636|0000000003845
00006|0000832600000||0000632||0000268|2024-07-15|2024-08-07|C|P|27212727|74784691|0000000005456
00005|0000832625000||0000342||0000336|2024-07-07|2024-08-24|F|T|53810855|50200407|0000000006185
00004|0000832648000||0000580||0000229|2024-07-24|2024-08-13|C|P|30959386|32027547|0000000003550
00005|0000832670000||0000435||0000930|2024-07-27|2024-08-23|C|P|22564182|85998987|0000000007886
00001|0000832695000||0000795||0000721|2024-07-26|2024-08-07|C|P|49313542|29416333|0000000001022
00001|0000832717000||0000856||0000133|2024-07-15|2024-08-21|C|P|63791710|48966613|0000000002275
00006|0000832748000||0000100||0000409|2024-07-26|2024-08-21|F|T|72677231|66827534|0000000007225
00002|0000832772000||0000390||0000334|2024-07-14|2024-08-05|C|T|21279781|88978813|0000000004675
00008|0000832808000||0000553||0000260|2024-07-07|2024-08-13|F|P|18813328|58263653|0000000009851
00003|0000832830000||0000845||0000443|2024-07-11|2024-08-17|C|P|42643530|31911465|0000000007477
00003|0000832852000||0000957||0000528|2024-07-07|2024-08-19|F|P|66150864|24036669|0000000009191
00003|0000832873000||0000380||0000713|2024-07-13|2024-08-14|F|T|70774233|84910226|0000000004925
00003|0000832898000||0000338||0000229|2024-07-05|2024-08-17|F|T|16613582|38557670|0000000001797
00005|0000832920000||0000170||0000696|2024-07-25|2024-08-01|C|T|89601958|74386129|0000000004811
00006|0000832941000||0000328||0000826|2024-07-21|2024-08-06|F|T|18867595|49237305|0000000003316
00006|0000832962000||0000200||0000581|2024-07-26|2024-08-25|F|T|19470539|56775253|0000000005728
00006|0000832986000||0000547||0000650|2024-07-26|2024-08-19|C|P|76806839|62682904|0000000003936
00000|0000833009000||0000299||0000821|2024-07-21|2024-08-27|C|T|22846781|89518452|0000000007201
00008|0000833030000||0000871||0000856|2024-07-25|2024-08-18|C|T|28751125|78991248|0000000009055
00001|0000833055000||0000869||0000279|2024-07-22|2024-08-17|C|T|46337162|45491355|0000000006352
00006|0000833080000||0000736||0000558|2024-07-25|2024-08-02|C|T|26296476|68886511|0000000003826
00000|0000833107000||0000474||0000940|2024-07-21|2024-08-21|F|P|64647460|64422525|0000000004818
00002|0000833128000||0000786||0000663|2024-07-23|2024-08-05|F|P|51489415|76972131|0000000006111
00008|0000833151000||0000949||0000268|2024-07-17|2024-08-09|F|P|87894978|77861911|0000000004445
00003|0000833176000||0000382||0000626|2024-07-10|2024-08-05|F|P|32468716|10209248|0000000008040
00007|0000833197000||0000245||0000574|2024-07-02|2024-08-24|C|T|49743003|14399578|0000000003868
00002|0000833217000||0000439||0000102|2024-07-02|2024-08-11|C|P|61496925|17941277|0000000005575
00006|0000833236000||0000837||0000340|2024-07-14|2024-08-04|F|T|31647475|36368448|0000000005547
00003|0000833259000||0000172||0000456|2024-07-22|2024-08-08|C|P|10412703|61126757|0000000008446
00007|0000833278000||0000714||0000639|2024-07-21|2024-08-11|C|T|33028737|29209932|0000000002539
00003|0000833298000||0000279||0000351|2024-07-09|2024-08-09|F|P|14729103|71419858|0000000001734
00004|0000833318000||0000398||0000431|2024-07-13|2024-08-20|F|T|49763424|78266525|0000000007372
00007|0000833340000||0000798||0000439|2024-07-09|2024-08-09|C|T|89169059|14067623|0000000006520
00003|0000833359000||0000970||0000330|2024-07-16|2024-08-14|F|T|82213284|38348563|0000000005081
00000|0000833380000||0000457||0000302|2024-07-09|2024-08-04|F|P|17703182|83215051|0000000001431
00001|0000833403000||0000876||0000651|2024-07-14|2024-08-12|C|T|10121606|45350040|0000000006152
00005|0000833433000||0000856||0000141|2024-07-24|2024-08-19|C|T|34972800|16159586|0000000008750
00003|0000833452000||0000133||0000122|2024-07-26|2024-08-12|C|T|47334718|62011536|0000000004602
00003|0000833470000||0000505||0000302|2024-07-17|2024-08-25|C|T|31400586|51763078|0000000004173
00005|0000833491000||0000433||0000871|2024-07-19|2024-08-09|C|T|70840172|27042140|0000000008276
00001|0000833515000||0000374||0000939|2024-07-20|2024-08-15|F|T|22780571|73002531|0000000009075
00008|0000833533000||0000137||0000519|2024-07-16|2024-08-26|C|P|48039218|45331721|0000000009416
00001|0000833553000||0000381||0000618|2024-07-06|2024-08-17|C|P|63361706|62637553|0000000006982
00004|0000833575000||0000296||0000291|2024-07-22|2024-08-03|F|T|84569825|18266391|0000000008425
00001|0000833593000||0000201||0000187|2024-07-21|2024-08-06|C|T|86436464|81051787|0000000005232
00004|0000833617000||0000366||0000950|2024-07-07|2024-08-10|C|P|60194382|12558180|0000000002564
00002|0000833635000||0000738||0000433|2024-07-02|2024-08-09|C|T|85862737|60530605|0000000004964
00008|0000833655000||0000222||0000878|2024-07-10|2024-08-17|F|T|81392833|14632503|0000000005672
00000|0000833673000||0000541||0000526|2024-07-01|2024-08-12|F|T|31861975|46902924|0000000003938
00000|0000833689000||0000877||0000615|2024-07-11|2024-08-13|F|P|50418314|46103913|0000000009227
00003|0000833706000||0000269||0000775|2024-07-07|2024-08-21|F|T|29161946|77997390|0000000008033
00001|0000833726000||0000795||0000356|2024-07-26|2024-08-24|C|T|41765424|29600431|0000000007591
00001|0000833742000||0000366||0000598|2024-07-14|2024-08-14|C|T|24386111|24876200|0000000007995
00001|0000833763000||0000390||0000502|2024-07-10|2024-08-18|C|T|52879687|42094338|0000000006231
00001|0000833780000||0000401||0000360|2024-07-11|2024-08-21|C|T|57731419|24274839|0000000006710
00000|0000833800000||0000872||0000734|2024-07-09|2024-08-09|F|T|54374621|43771696|0000000006096
00008|0000833820000||0000787||0000205|2024-07-16|2024-08-02|F|P|84165877|26691894|0000000003777
00005|0000833839000||0000807||0000558|2024-07-14|2024-08-25|C|T|78890897|45640061|0000000009150
00004|0000833856000||0000396||0000702|2024-07-13|2024-08-15|C|P|11458790|14991551|0000000003869
00005|0000833878000||0000661||0000369|2024-07-12|2024-08-02|C|T|24322880|59520625|0000000003943
00008|0000833896000||0000664||0000769|2024-07-20|2024-08-26|F|P|61180766|66125214|0000000007681
00007|0000833912000||0000980||0000631|2024-07-25|2024-08-24|F|P|41539677|20203206|0000000004198
00000|0000833930000||0000414||0000452|2024-07-07|2024-08-21|F|P|28175299|13792688|0000000002242
00002|0000833950000||0000726||0000811|2024-07-10|2024-08-05|F|P|80130268|84624489|0000000006810
00005|0000833966000||0000776||0000318|2024-07-23|2024-08-06|C|T|69235255|72429466|0000000001053
00003|0000833982000||0000596||0000878|2024-07-13|2024-08-11|F|T|33414346|71913646|0000000008968
00005|0000833997000||0000838||0000420|2024-07-08|2024-08-11|F|T|68476343|88080196|0000000003282
00005|0000834016000||0000139||0000237|2024-07-07|2024-08-27|F|T|67902077|51282322|0000000001960
00003|0000834033000||0000550||0000121|2024-07-11|2024-08-12|C|T|84027100|56698485|0000000007937
00004|0000834048000||0000900||0000596|2024-07-27|2024-08-15|F|T|49033316|86060072|0000000006273
00002|0000834064000||0000985||0000830|2024-07-21|2024-08-15|F|P|76328256|12168073|0000000009399
00003|0000834083000||0000700||0000307|2024-07-13|2024-08-07|C|T|62551674|19672613|0000000004817
00006|0000834100000||0000513||0000917|2024-07-14|2024-08-14|C|P|61347198|89582669|0000000006421
00001|0000834124000||0000377||0000600|2024-07-19|2024-08-12|C|P|66095240|23078573|0000000002679
00005|0000834144000||0000732||0000173|2024-07-10|2024-08-01|C|P|53286652|16947236|0000000008048
00000|0000834163000||0000108||0000402|2024-07-17|2024-08-12|C|T|78524235|27697460|0000000001705
00008|0000834186000||0000176||0000155|2024-07-02|2024-08-25|C|P|23596163|25611323|0000000005419
